,area,location,latitude,longitude,species,treeform_type
1005,cana609,canada,55.31,-77.7,Picea glauca (Moench) Voss,G
1006,cana610,canada,53.98,-105.12,Picea mariana (Mill.) Britton,G
1007,cana611,canada,50.853,-120.52,Pseudotsuga menziesii (Mirb.) Franco,G
1008,cana612,canada,68.31472,-133.4583,Picea mariana (Mill.) Britton,G
1009,cana613,canada,53.9928,-105.1161,Picea mariana (Mill.) Britton,G
1010,cana614,canada,68.7317,-133.4917,Picea mariana (Mill.) Britton,G
1011,cana615,canada,45.47067,-78.7045,Acer saccharum Marsh.,A
1012,cana616,canada,45.491721,-78.721403,Acer saccharum Marsh.,A
1013,cana617,canada,45.481819,-78.731524,Acer saccharum Marsh.,A
1014,cana618,canada,45.470603,-78.727092,Acer saccharum Marsh.,A
1015,cana619,canada,45.478414,-78.716929,Acer saccharum Marsh.,A
1016,cana620,canada,45.623879,-78.66511,Acer saccharum Marsh.,A
1017,cana621,canada,45.635394,-78.669596,Acer saccharum Marsh.,A
1018,cana622,canada,45.655489,-78.642595,Acer saccharum Marsh.,A
1019,cana623,canada,45.665991,-78.603024,Acer saccharum Marsh.,A
1020,cana624,canada,45.689022,-78.632638,Acer saccharum Marsh.,A
1021,cana625,canada,44.506405,-76.550034,Acer saccharum Marsh.,A
1022,cana626,canada,44.517193,-76.40448,Acer saccharum Marsh.,A
1023,cana627,canada,44.49965,-76.031331,Acer saccharum Marsh.,A
1024,cana628,canada,44.520701,-76.019556,Acer saccharum Marsh.,A
1025,cana629,canada,44.528194,-76.03958,Acer saccharum Marsh.,A
1026,cana630,canada,44.506864,-76.042256,Acer saccharum Marsh.,A
1027,cana631,canada,44.550681,-76.379554,Acer saccharum Marsh.,A
1028,cana632,canada,44.535098,-76.525818,Acer saccharum Marsh.,A
1029,cana633,canada,44.575248,-76.520252,Acer saccharum Marsh.,A
1030,cana634,canada,44.555756,-76.362409,Acer saccharum Marsh.,A
1031,cana635,canada,56.147,-110.8705,Populus tremuloides Michx.,A
1032,cana636,canada,43.0667,-79.2667,Acer saccharum Marsh.,A
1033,cana638,canada,53.83,-101.24,Thuja occidentalis L.,G
1034,cana639,canada,50.89345,-122.777088,Pinus ponderosa Douglas ex C. Lawson,G
1035,cana640,canada,50.35543,-122.4852,Tsuga mertensiana (Bong.) Carri¨¨re,G
1036,cana641,canada,50.35795,-122.4875,Tsuga mertensiana (Bong.) Carri¨¨re,G
1037,cana642,canada,50.527436,-121.736481,Pinus ponderosa Douglas ex C. Lawson,G
1038,cana643,canada,50.53636,-121.2763,Pinus ponderosa Douglas ex C. Lawson,G
1039,cana644,canada,50.54783,-121.2729,Pinus ponderosa Douglas ex C. Lawson,G
1040,cana645,canada,50.591932,-123.017216,Abies amabilis Douglas ex J. Forbes,G
1041,cana646,canada,50.591932,-123.017216,Tsuga mertensiana (Bong.) Carri¨¨re,G
1042,cana647,canada,52.223035,-117.195459,Picea engelmannii Parry ex Engelm.,G
1043,cana648,canada,45.25,-75.43,Acer saccharum Marsh.,A
1044,cana649,canada,54.6485,-124.43,Pseudotsuga menziesii (Mirb.) Franco,G
1045,cana650,canada,54.6,-71.2,Picea mariana (Mill.) Britton,G
1046,cana651,canada,50.8,-68.8,Picea mariana (Mill.) Britton,G
1047,cana652,canada,56.7,-74,Picea mariana (Mill.) Britton,G
1048,cana653,canada,43.517222,-79.613889,Tsuga canadensis (L.) Carr.,G
1049,cana654,canada,43.51,-79.677222,Acer saccharum Marsh.,A
1050,cana655,canada,43.51,-79.677222,Quercus rubra L.,A
1051,cana656,canada,43.552778,-79.663611,Acer saccharum Marsh.,A
1052,cana657,canada,43.552778,-79.663611,Quercus rubra L.,A
1053,cana658,canada,43.555278,-79.670278,Quercus rubra L.,A
1054,cana659,canada,43.669722,-79.796389,Tsuga canadensis (L.) Carr.,G
1055,cana660,canada,43.695278,-79.855833,Acer saccharum Marsh.,A
1056,cana661,canada,43.675278,-79.975,Thuja occidentalis L.,G
1057,cana662,canada,43.696389,-79.968889,Acer saccharum Marsh.,A
1058,cana664,canada,43.744722,-79.955833,Acer saccharum Marsh.,A
1059,cana665,canada,43.744722,-79.955833,Thuja occidentalis L.,G
1060,cana666,canada,43.781667,-79.967778,Acer saccharum Marsh.,A
1061,cana667,canada,43.805833,-79.930278,Populus balsamifera L.,A
1062,cana668,canada,43.836389,-80.057222,Picea abies (L.) H. Karst.,G
1063,cana669,canada,43.881389,-80.06,Thuja occidentalis L.,G
1064,cana670,canada,43.876667,-80.137778,Acer saccharum Marsh.,A
1065,cana671,canada,43.876667,-80.137778,Betula papyrifera Marsh.,A
1066,cana672,canada,43.9125,-80.078611,Thuja occidentalis L.,G
1067,cana9,canada,50.25,-121.67,Pseudotsuga menziesii (Mirb.) Franco,G
1068,che413,Europe,46.008,7.706,Larix decidua Mill.,G
1069,che414,Europe,46.001,7.743,Larix decidua Mill.,G
1070,che415,Europe,46.002,7.74,Larix decidua Mill.,G
1071,che416,Europe,46.007,7.743,Larix decidua Mill.,G
1072,che417,Europe,46.218,8.058,Larix decidua Mill.,G
1073,che418,Europe,46.212,8.055,Larix decidua Mill.,G
1074,che419,Europe,46.208,8.047,Larix decidua Mill.,G
1075,che420,Europe,46.196,8.064,Larix decidua Mill.,G
1076,che421,Europe,46.191,8.044,Larix decidua Mill.,G
1077,che422,Europe,46.196,8.045,Larix decidua Mill.,G
1078,che423,Europe,46.193,8.053,Larix decidua Mill.,G
1079,chil019,southamerica,-38.6167,-71.6,Nothofagus pumilio (Poepp. & Endl.) Reiche,A
1080,chil020,southamerica,-37.5667,-71.2333,Nothofagus pumilio (Poepp. & Endl.) Reiche,A
1081,chil021,southamerica,-38.6333,-71.6,Nothofagus pumilio (Poepp. & Endl.) Reiche,A
1082,chil022,southamerica,-37.4667,-71.3167,Nothofagus pumilio (Poepp. & Endl.) Reiche,A
1083,chil023,southamerica,-37.4833,-71.3167,Nothofagus pumilio (Poepp. & Endl.) Reiche,A
1084,chil024,southamerica,-38.6167,-71.6,Nothofagus pumilio (Poepp. & Endl.) Reiche,A
1085,chil025,southamerica,-38.4667,-71.3333,Nothofagus pumilio (Poepp. & Endl.) Reiche,A
1086,chin005,Asia,37,98.5,Juniperus przewalskii Komarov = Sabina przewalskii Komarov,G
1087,chin006,Asia,36,98,Juniperus przewalskii Komarov = Sabina przewalskii Komarov,G
1088,chin007,Asia,43.9333,88.15,Picea schrenkiana Fisch. & C.A. Mey.,G
1089,chin008,Asia,42.8833,82.1333,Picea schrenkiana Fisch. & C.A. Mey.,G
1090,chin009,Asia,43.0667,82.15,Picea schrenkiana Fisch. & C.A. Mey.,G
1091,chin010,Asia,42.8,81.7167,Picea schrenkiana Fisch. & C.A. Mey.,G
1092,chin011,Asia,43.15,82.8667,Picea schrenkiana Fisch. & C.A. Mey.,G
1093,chin012,Asia,43.0833,82.6833,Picea schrenkiana Fisch. & C.A. Mey.,G
1094,chin013,Asia,43.7167,86.7167,Picea schrenkiana Fisch. & C.A. Mey.,G
1095,chin014,Asia,43.8833,88.1167,Picea schrenkiana Fisch. & C.A. Mey.,G
1096,chin015,Asia,43.7833,86.3,Picea schrenkiana Fisch. & C.A. Mey.,G
1097,chin016,Asia,31.7833,101.9167,Cupressus chengiana S.Y.Hu,G
1098,chin017,Asia,28.9,99.75,Juniperus tibetica Kom.,G
1099,chin018,Asia,29.2833,100.0833,Abies forestii Rogers,G
1100,chin019,Asia,29.15,99.9333,Abies forestii Rogers,G
1101,chin020,Asia,30.2333,100.2667,Juniperus tibetica Kom.,G
1102,chin021,Asia,28.9833,99.9333,Abies forestii Rogers,G
1103,chin022,Asia,30.8667,100.2833,Picea likiangensis (Franchet) Pritzel,G
1104,chin023,Asia,30,100,Picea likiangensis (Franchet) Pritzel,G
1105,chin024,Asia,28.3667,99.0333,Juniperus tibetica Kom.,G
1106,chin025,Asia,27.3667,99.2667,Abies forestii Rogers,G
1107,chin026,Asia,27.6167,99.8,Abies forestii Rogers,G
1108,chin027,Asia,27.3333,99.3,Abies forestii Rogers,G
1109,chin028,Asia,27.3333,99.3,Abies forestii Rogers,G
1110,chin029,Asia,43.85,93.3,Larix sibirica Ledeb. = Larix russica (Endl.) Sabine ex Trautv.,G
1111,chin030,Asia,43.8333,93.3833,Larix sibirica Ledeb. = Larix russica (Endl.) Sabine ex Trautv.,G
1112,chin031,Asia,43.8167,93.3333,Larix sibirica Ledeb. = Larix russica (Endl.) Sabine ex Trautv.,G
1113,chin032,Asia,43.8167,93.3,Larix sibirica Ledeb. = Larix russica (Endl.) Sabine ex Trautv.,G
1114,chin033,Asia,43.7667,87.9167,Picea schrenkiana Fisch. & C.A. Mey.,G
1115,chin034,Asia,43.8,88.0167,Picea schrenkiana Fisch. & C.A. Mey.,G
1116,chin035,Asia,43.6,90.2167,Picea tienschanica Rupr.,G
1117,chin036,Asia,43.6,90.1,Picea tienschanica Rupr.,G
1118,chin037,Asia,27.58,99.35,Picea likiangensis (Franchet) Pritzel,G
1119,chin038,Asia,27.59,99.29,Tsuga dumosa (D. Don) Eichler,G
1120,chin039,Asia,28.04,99.02,Abies recurvata Mast.,G
1121,chin040,Asia,28.04,98.98,Tsuga dumosa (D. Don) Eichler,G
1122,chin041,Asia,27.88,98.4,Tsuga dumosa (D. Don) Eichler,G
1123,chin042,Asia,31.95,98.8667,Picea likiangensis (Franchet) Pritzel,G
1124,chin043,Asia,29.3,91.9667,Juniperus tibetica Kom.,G
1125,chin044,Asia,29.0667,93.95,Juniperus tibetica Kom.,G
1126,chin045,Asia,29.6167,94.6667,Juniperus tibetica Kom.,G
1127,chin046,Asia,31.1167,97.0333,Juniperus tibetica Kom.,G
1128,chin047,Asia,31.1167,97.0333,Picea likiangensis (Franchet) Pritzel,G
1129,chin048,Asia,30.3,91.5167,Juniperus tibetica Kom.,G
1130,chin049,Asia,31.2333,96.4833,Picea likiangensis (Franchet) Pritzel,G
1131,chin050,Asia,37.4706,97.235,Juniperus przewalskii Komarov = Sabina przewalskii Komarov,G
1132,chin051,Asia,37.4681,97.2289,Juniperus przewalskii Komarov = Sabina przewalskii Komarov,G
1133,chin052,Asia,37.4514,97.5425,Juniperus przewalskii Komarov = Sabina przewalskii Komarov,G
1134,chin053,Asia,37.4378,98.0564,Juniperus przewalskii Komarov = Sabina przewalskii Komarov,G
1135,chin054,Asia,37.4497,97.7853,Juniperus przewalskii Komarov = Sabina przewalskii Komarov,G
1136,chin055,Asia,37.5128,97.0556,Juniperus przewalskii Komarov = Sabina przewalskii Komarov,G
1137,chin056,Asia,34.4653,110.08,Pinus armandii Franchet,G
1138,chin057,Asia,34.4633,110.0808,Pinus armandii Franchet,G
1139,chin058,Asia,34.4642,110.0781,Pinus armandii Franchet,G
1140,chin059,Asia,33.8,96.1333,Juniperus tibetica Kom.,G
1141,chin060,Asia,37.3119,98.3989,Juniperus przewalskii Komarov = Sabina przewalskii Komarov,G
1142,chin061,Asia,37.0258,98.6294,Juniperus przewalskii Komarov = Sabina przewalskii Komarov,G
1143,chin062,Asia,37.0381,98.6594,Juniperus przewalskii Komarov = Sabina przewalskii Komarov,G
1144,chin063,Asia,36.7478,98.2211,Juniperus przewalskii Komarov = Sabina przewalskii Komarov,G
1145,chin064,Asia,36.6794,98.4161,Juniperus przewalskii Komarov = Sabina przewalskii Komarov,G
1146,chin066,Asia,33.7167,96.2833,Juniperus tibetica Kom.,G
1147,chin068,Asia,36.2333,98.35,Juniperus przewalskii Komarov = Sabina przewalskii Komarov,G
1148,chin070,Asia,38.5667,99.3333,Juniperus przewalskii Komarov = Sabina przewalskii Komarov,G
1149,chin071,Asia,38.2,99.8667,Juniperus przewalskii Komarov = Sabina przewalskii Komarov,G
1150,chin072,Asia,33.7333,112.2333,Pinus tabulaeformis Carr.,G
1151,chin073,Asia,28.6,119.45,Pinus massoniana Lamb.,G
1152,chin074,Asia,31,97,Juniperus tibetica Kom.,G
1153,chin075,Asia,29.15,99.95,Abies forestii Rogers,G
1154,chin077,Asia,26.733,101.933,Pinus yunnanensis Franch.,G
1155,chin078,Asia,26.943,101.67,Pinus yunnanensis Franch.,G
1156,chin080,Asia,26.932,101.663,Pinus yunnanensis Franch.,G
1157,chin081,Asia,30.35,119.52,Pinus taiwanensis Hayata,G
1158,chin082,Asia,30.37,119.33,Pinus taiwanensis Hayata,G
1159,chin083,Asia,31.13,115.77,Pinus taiwanensis Hayata,G
1160,chin084,Asia,30.1,118.9,Pinus taiwanensis Hayata,G
1161,chin085,Asia,30.2,117.6,Pinus taiwanensis Hayata,G
1162,chn086,Asia,24.54,101.03,Tetracentron sinense Oliv.,A
1163,chn087,Asia,27.16,98.77,Tsuga dumosa (D. Don) Eichler,G
1164,chn090,Asia,45.721929,126.634568,Quercus mongolica Fisch. ex Turcz.,A
1165,chn091,Asia,45.241736,127.394217,Quercus mongolica Fisch. ex Turcz.,A
1166,cmr001,Africa,2.249722,16.166389,Erythrophleum ivorense A.Chev.,A
1167,cmr002,Africa,2.249722,16.166389,Triplochiton schleroxylon,A
1168,co555,usa,37.78,-105.5,Pinus ponderosa Douglas ex C. Lawson,G
1169,co556,usa,37.72,-105.47,Pinus flexilis E. James,G
1170,co557,usa,37.78,-106.82,Pinus ponderosa Douglas ex C. Lawson,G
1171,co558,usa,38.1,-106.37,Pinus ponderosa Douglas ex C. Lawson,G
1172,co559,usa,37.38,-106.28,Pinus ponderosa Douglas ex C. Lawson,G
1173,co560,usa,37.63,-106.68,Pinus ponderosa Douglas ex C. Lawson,G
1174,co561,usa,37.38,-108.12,Pinus flexilis E. James,G
1175,co562,usa,37.55,-105.42,Pinus aristata Engelm.,G
1176,co563,usa,40.42,-105.57,Pinus contorta Douglas ex Loudon,G
1177,co564,usa,39.5,-104.22,Pinus ponderosa Douglas ex C. Lawson,G
1178,co565,usa,39.38,-104.2,Pinus ponderosa Douglas ex C. Lawson,G
1179,co566,usa,39.07,-104.43,Pseudotsuga menziesii (Mirb.) Franco,G
1180,co567,usa,37.5,-103.53,Pinus edulis Engelm.,G
1181,co568,usa,37.23,-103.25,Pinus ponderosa Douglas ex C. Lawson,G
1182,co569,usa,37.1,-103.62,Pinus ponderosa Douglas ex C. Lawson,G
1183,co570,usa,37.07,-103.27,Pinus ponderosa Douglas ex C. Lawson,G
1184,co571,usa,37.07,-103.27,Pinus edulis Engelm.,G
1185,co572,usa,40.32,-105.55,Pseudotsuga menziesii (Mirb.) Franco,G
1186,co579,usa,39.95,-106.52,Pinus edulis Engelm.,G
1187,co580,usa,39,-108.15,Pseudotsuga menziesii (Mirb.) Franco,G
1188,co581,usa,40.75,-106.85,Pseudotsuga menziesii (Mirb.) Franco,G
1189,co582,usa,38.67,-108.35,Pinus edulis Engelm.,G
1190,co583,usa,39.72,-106.98,Pinus edulis Engelm.,G
1191,co584,usa,39.7,-106.73,Pinus edulis Engelm.,G
1192,co586,usa,39.87,-105.87,Picea engelmannii Parry ex Engelm.,G
1193,co587,usa,39.88,-105.93,Picea engelmannii Parry ex Engelm.,G
1194,co588,usa,37.47,-106.3,Pinus ponderosa Douglas ex C. Lawson,G
1195,co589,usa,38.73,-106.8,Pseudotsuga menziesii (Mirb.) Franco,G
1196,co590,usa,40.67,-105.52,Pinus ponderosa Douglas ex C. Lawson,G
1197,co591,usa,40.98,-105.67,Pinus ponderosa Douglas ex C. Lawson,G
1198,co592,usa,40.42,-105.28,Pseudotsuga menziesii (Mirb.) Franco,G
1199,co593,usa,38.08,-107,Pseudotsuga menziesii (Mirb.) Franco,G
1200,co594,usa,38.25,-106.67,Pinus ponderosa Douglas ex C. Lawson,G
1201,co595,usa,39.83,-108.2,Pinus edulis Engelm.,G
1202,co596,usa,39.93,-105.3,Pinus ponderosa Douglas ex C. Lawson,G
1203,co597,usa,39.6,-105.9,Pseudotsuga menziesii (Mirb.) Franco,G
1204,co598,usa,40.37,-105.58,Pinus ponderosa Douglas ex C. Lawson,G
1205,co599,usa,39.6,-108.8,Pseudotsuga menziesii (Mirb.) Franco,G
1206,co600,usa,38.25,-108.33,Pinus edulis Engelm.,G
1207,co601,usa,39.38,-105.17,Pinus ponderosa Douglas ex C. Lawson,G
1208,co602,usa,38.87,-105.43,Pinus ponderosa Douglas ex C. Lawson,G
1209,co603,usa,39.93,-105.27,Pseudotsuga menziesii (Mirb.) Franco,G
1210,co604,usa,39.85,-106.23,Pseudotsuga menziesii (Mirb.) Franco,G
1211,co605,usa,38.6,-107.58,Pinus edulis Engelm.,G
1212,co606,usa,40.07,-106.13,Pseudotsuga menziesii (Mirb.) Franco,G
1213,co607,usa,40.13,-105.42,Pinus ponderosa Douglas ex C. Lawson,G
1214,co608,usa,39.68,-105.2,Pinus ponderosa Douglas ex C. Lawson,G
1215,co609,usa,38.85,-106.02,Pseudotsuga menziesii (Mirb.) Franco,G
1216,co610,usa,37.58,-108.58,Pinus edulis Engelm.,G
1217,co611,usa,39.55,-105.27,Pinus ponderosa Douglas ex C. Lawson,G
1218,co612,usa,38.38,-108.02,Pinus edulis Engelm.,G
1219,co613,usa,40.92,-106.33,Pseudotsuga menziesii (Mirb.) Franco,G
1220,co614,usa,40.8,-105.18,Pinus edulis Engelm.,G
1221,co615,usa,40.05,-108.3,Pinus edulis Engelm.,G
1222,co616,usa,40.78,-108.97,Pinus edulis Engelm.,G
1223,co617,usa,38.8,-106.23,Pseudotsuga menziesii (Mirb.) Franco,G
1224,co618,usa,38.8,-106.23,Pinus edulis Engelm.,G
1225,co619,usa,40.02,-105.52,Pseudotsuga menziesii (Mirb.) Franco,G
1226,co620,usa,38.53,-107.22,Pseudotsuga menziesii (Mirb.) Franco,G
1227,co621,usa,39.67,-107.88,Pinus edulis Engelm.,G
1228,co622,usa,40.72,-105.58,Pinus ponderosa Douglas ex C. Lawson,G
1229,co623,usa,38.32,-107.2,Pinus ponderosa Douglas ex C. Lawson,G
1230,co624,usa,38.4,-106.43,Pseudotsuga menziesii (Mirb.) Franco,G
1231,co625,usa,37.67,-106.65,Pinus ponderosa Douglas ex C. Lawson,G
1232,co626,usa,38.02,-108.92,Pinus edulis Engelm.,G
1233,co627,usa,38.53,-107.32,Pinus ponderosa Douglas ex C. Lawson,G
1234,co628,usa,38.33,-105.27,Pseudotsuga menziesii (Mirb.) Franco,G
1235,co629,usa,38.83,-108.57,Pinus edulis Engelm.,G
1236,co630,usa,40.03,-106.07,Pseudotsuga menziesii (Mirb.) Franco,G
1237,co631,usa,39.02,-108.23,Pinus edulis Engelm.,G
1238,co632,usa,37.9,-105.15,Pseudotsuga menziesii (Mirb.) Franco,G
1239,co633,usa,40.55,-105.83,Picea engelmannii Parry ex Engelm.,G
1240,co634,usa,40.55,-105.83,Pinus contorta Douglas ex Loudon,G
1241,co635,usa,40.55,-105.83,Abies lasiocarpa (Hook.) Nutt.,G
1242,co636,usa,37.8167,-106.3833,Pinus edulis Engelm.,G
1243,co637,usa,37.55,-105.5667,Pinus edulis Engelm.,G
1244,co638,usa,37.2167,-107.85,Pinus edulis Engelm.,G
1245,co639,usa,39.0167,-105.3667,Pinus ponderosa Douglas ex C. Lawson,G
1246,co640,usa,38.4,-105.3,Pinus edulis Engelm.,G
1247,co641,usa,39.8,-105.25,Pinus ponderosa Douglas ex C. Lawson,G
1248,co644,usa,39.65,-106.8667,Pseudotsuga menziesii (Mirb.) Franco,G
1249,co646,usa,39.85,-106.23,Pseudotsuga menziesii (Mirb.) Franco,G
1250,co647,usa,37.2,-108.5,Pseudotsuga menziesii (Mirb.) Franco,G
1251,co648,usa,39.95,-106.52,Pinus edulis Engelm.,G
1252,co649,usa,39.72,-106.98,Pinus edulis Engelm.,G
1253,co650,usa,39.02,-108.23,Pinus edulis Engelm.,G
1254,co651,usa,37.2739,-108.3478,Pseudotsuga menziesii (Mirb.) Franco,G
1255,co652,usa,37.2739,-108.3478,Pseudotsuga menziesii (Mirb.) Franco,G
1256,co653,usa,37.67,-106.65,Pinus ponderosa Douglas ex C. Lawson,G
1257,co654,usa,37.47,-106.3,Pinus ponderosa Douglas ex C. Lawson,G
1258,co655,usa,39.02,-108.23,Pseudotsuga menziesii (Mirb.) Franco,G
1259,co656,usa,37.437236,-106.631074,Pinus aristata Engelm.,G
1260,co657,usa,37.216667,-104.783333,Pinus ponderosa Douglas ex C. Lawson,G
1261,co658,usa,38.73,-106.8,Pseudotsuga menziesii (Mirb.) Franco,G
1262,co659,usa,40.05,-105.35,Pinus ponderosa Douglas ex C. Lawson,G
1263,co660,usa,37.55,-105.5667,Pinus edulis Engelm.,G
1264,co661,usa,37.9,-108.616667,Pinus edulis Engelm.,G
1265,co662,usa,39.65,-106.87,Pseudotsuga menziesii (Mirb.) Franco,G
1266,co663,usa,37.116667,-103.083333,Pinus ponderosa Douglas ex C. Lawson,G
1267,co664,usa,38.6,-107.58,Pinus edulis Engelm.,G
1268,co665,usa,39.066667,-104.933333,Pseudotsuga menziesii (Mirb.) Franco,G
1269,co666,usa,40.25,-105.433333,Pinus ponderosa Douglas ex C. Lawson,G
1270,co667,usa,39,-108.15,Pseudotsuga menziesii (Mirb.) Franco,G
1271,co668,usa,38.45,-106.38333,Pseudotsuga menziesii (Mirb.) Franco,G
1272,co669,usa,38.45,-106.38333,Pinus ponderosa Douglas ex C. Lawson,G
1273,co670,usa,38.0167,-105.7,Pinus edulis Engelm.,G
1274,co671,usa,40.92,-106.33,Pseudotsuga menziesii (Mirb.) Franco,G
1275,co672,usa,38.7333,-106.2167,Pinus aristata Engelm.,G
1276,co673,usa,40.05,-108.3,Pinus edulis Engelm.,G
1277,co674,usa,39.67,-107.88,Pinus edulis Engelm.,G
1278,co675,usa,38.6,-104.87,Pinus ponderosa Douglas ex C. Lawson,G
1279,co676,usa,38.83,-108.57,Pinus edulis Engelm.,G
1280,co677,usa,39.02,-108.23,Pinus edulis Engelm.,G
1281,co679,usa,40.05,-105.58,Picea engelmannii Parry ex Engelm.,G
1282,co681,usa,37.7,-108.2,Populus tremuloides Michx.,A
1283,co682,usa,37.5,-106.2,Populus tremuloides Michx.,A
1284,co683,usa,37.8,-107.9,Populus tremuloides Michx.,A
1285,co684,usa,38.3,-108.1,Populus tremuloides Michx.,A
1286,co685,usa,38.2,-108.4,Juniperus osteosperma (Torr.) Little,G
1287,co686,usa,38.2,-108.4,Pinus edulis Engelm.,G
1288,co692,usa,38.26,-108.33,Pinus edulis Engelm.,G
1289,co693,usa,39.663476,-107.894664,Pinus edulis Engelm.,G
1290,col001,southamerica,11.79165,-72.415,Morisonia odoratissima (Jacq.) Christenh. & Byng = Capparis odoratissima Jacq.,A
1291,col002,southamerica,11.79165,-72.415,Parkinsonia praecox (Ruiz & Pav.) Hawkins,A
1292,ct003,usa,41.365,-72.65,Chamaecyparis thyoides (L.) B.S.P.,G
1293,ct004,usa,41.95,-73.22,Tsuga canadensis (L.) Carr.,G
1294,cypr015,Europe,35.02,32.63,Pinus brutia Ten.,G
1295,cypr016,Europe,34.92,32.9,Pinus brutia Ten.,G
1296,cypr017,Europe,34.92,32.9,Pinus nigra J.F. Arnold,G
1297,cypr018,Europe,34.93,32.87,Pinus nigra J.F. Arnold,G
1298,cypr019,Europe,34.98,32.67,Cedrus brevifolia Henry = Cedrus libani var.brevifolia,G
1299,cze036,Europe,50.583154,14.432447,Pinus sylvestris L.,G
1300,cze037,Europe,50.583294,14.43426,Pinus sylvestris L.,G
1301,cze038,Europe,50.580903,14.436868,Pinus sylvestris L.,G
1302,cze039,Europe,50.569243,14.440444,Pinus sylvestris L.,G
1303,cze040,Europe,50.574326,14.436028,Pinus sylvestris L.,G
1304,cze041,Europe,50.570809,14.432219,Pinus sylvestris L.,G
1305,cze042,Europe,50.574482,14.433891,Pinus sylvestris L.,G
1306,cze043,Europe,50.599173,14.451654,Pinus sylvestris L.,G
1307,cze044,Europe,50.596338,14.447048,Pinus sylvestris L.,G
1308,cze045,Europe,50.57463,14.457303,Pinus sylvestris L.,G
1309,cze046,Europe,50.579373,14.453595,Pinus sylvestris L.,G
1310,cze047,Europe,50.58407,14.460131,Pinus sylvestris L.,G
1311,cze048,Europe,50.583267,14.447297,Pinus sylvestris L.,G
1312,cze049,Europe,50.587257,14.440833,Pinus sylvestris L.,G
1313,cze050,Europe,50.590041,14.454068,Pinus sylvestris L.,G
1314,cze051,Europe,50.588811,14.45881,Pinus sylvestris L.,G
1315,cze052,Europe,50.577946,14.454158,Pinus sylvestris L.,G
1316,cze053,Europe,50.595737,14.452868,Pinus sylvestris L.,G
1317,cze054,Europe,49.184294,13.24032,Picea abies (L.) H. Karst.,G
1318,cze055,Europe,49.198471,13.24376,Picea abies (L.) H. Karst.,G
1319,cze056,Europe,49.201473,13.248555,Picea abies (L.) H. Karst.,G
1320,cze057,Europe,49.22112,13.249751,Picea abies (L.) H. Karst.,G
1321,cze058,Europe,49.215391,13.243904,Picea abies (L.) H. Karst.,G
1322,cze059,Europe,49.211255,13.260087,Picea abies (L.) H. Karst.,G
1323,cze060,Europe,49.186427,13.285707,Picea abies (L.) H. Karst.,G
1324,cze061,Europe,49.193996,13.266417,Picea abies (L.) H. Karst.,G
1325,cze062,Europe,49.178167,13.257786,Picea abies (L.) H. Karst.,G
1326,cze063,Europe,49.183504,13.256809,Picea abies (L.) H. Karst.,G
1327,cze064,Europe,49.206101,13.227974,Picea abies (L.) H. Karst.,G
1328,cze065,Europe,49.187113,13.271311,Picea abies (L.) H. Karst.,G
1329,cze066,Europe,49.19193,13.286154,Picea abies (L.) H. Karst.,G
1330,cze067,Europe,49.200382,13.272748,Picea abies (L.) H. Karst.,G
1331,cze068,Europe,49.195968,13.276581,Picea abies (L.) H. Karst.,G
1332,cze069,Europe,49.196379,13.282692,Picea abies (L.) H. Karst.,G
1333,cze070,Europe,49.203006,13.28631,Picea abies (L.) H. Karst.,G
1334,cze071,Europe,49.211954,13.231562,Picea abies (L.) H. Karst.,G
1335,cze072,Europe,49.181807,13.292969,Picea abies (L.) H. Karst.,G
1336,cze073,Europe,49.216004,13.283301,Picea abies (L.) H. Karst.,G
1337,czec001,Europe,50.75,15.55,Picea abies (L.) H. Karst.,G
1338,czec003,Europe,48.6667,14.7,Abies alba Mill.,G
1339,czec004,Europe,48.6667,14.7,Fagus sylvatica L.,A
1340,czec005,Europe,48.6667,14.7,Picea abies (L.) H. Karst.,G
1341,czec006,Europe,50.75,15.66,Picea abies (L.) H. Karst.,G
1342,czec007,Europe,50.73,15.67,Picea abies (L.) H. Karst.,G
1343,czec008,Europe,50.56,14.46,Pinus sylvestris L.,G
1344,czec009,Europe,50.57,14.45,Pinus sylvestris L.,G
1345,czec010,Europe,50.72,15.7,Picea abies (L.) H. Karst.,G
1346,czec011,Europe,49.048522,13.477984,Pinus sylvestris L.,G
1347,czec012,Europe,48.87,13.79,Picea abies (L.) H. Karst.,G
1348,czec013,Europe,48.890576,14.354799,Pinus sylvestris L.,G
1349,czec014,Europe,50.079523,17.214055,Picea abies (L.) H. Karst.,G
1350,czec015,Europe,50.850325,14.358207,Picea abies (L.) H. Karst.,G
1351,czec016,Europe,50.203864,16.845659,Picea abies (L.) H. Karst.,G
1352,czec017,Europe,49.203583,13.112284,Picea abies (L.) H. Karst.,G
1353,czec018,Europe,50.055243,12.776041,Pinus sylvestris L.,G
1354,czec019,Europe,49.79232,15.7547,Picea abies (L.) H. Karst.,G
1355,czec020,Europe,49.316082,13.680751,Pinus sylvestris L.,G
1356,czec021,Europe,50.043017,13.297917,Picea abies (L.) H. Karst.,G
1357,czec022,Europe,50.043017,13.297917,Pinus sylvestris L.,G
1358,czec023,Europe,49.136701,13.502261,Picea abies (L.) H. Karst.,G
1359,czec024,Europe,50.889683,14.412967,Pinus sylvestris L.,G
1360,czec025,Europe,50.756345,15.644769,Picea abies (L.) H. Karst.,G
